number_of_youth_by_income_category,population,start_date,end_date,question,status,count
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,30
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,24
Number of Youth Stayers without Required Annual Assessment,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_start,66
Total Youth,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,54
Total Youth,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_exit_leavers,12
1 or More Source of Income,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_start,19
1 or More Source of Income,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-05-01,2021-05-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,9
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,6
Youth with Only Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,3
Youth with Both Earned and Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,43
Youth with No Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,12
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,5
Youth with Missing Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,2
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,21
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,24
Number of Youth Stayers without Required Annual Assessment,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,63
Total Youth,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,45
Total Youth,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,18
1 or More Source of Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,18
1 or More Source of Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,4
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-06-01,2021-06-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,8
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,3
Youth with Only Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,45
Youth with No Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,8
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,26
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,23
Number of Youth Stayers without Required Annual Assessment,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,58
Total Youth,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,49
Total Youth,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,9
1 or More Source of Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,14
1 or More Source of Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-07-01,2021-07-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,10
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,57
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,17
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,29
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,24
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,73
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,53
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,20
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,17
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,12
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Only Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,3
Youth with Only Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,64
Youth with No Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,13
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,3
Youth with Missing Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,43
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,25
Number of Youth Stayers without Required Annual Assessment,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,83
Total Youth,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,68
Total Youth,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,15
1 or More Source of Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,19
1 or More Source of Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-09-01,2021-09-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,13
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Only Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,68
Youth with No Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,19
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,4
Youth with Missing Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,1
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,38
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,28
Number of Youth Stayers without Required Annual Assessment,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,90
Total Youth,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,66
Total Youth,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,24
1 or More Source of Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,21
1 or More Source of Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,5
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-10-01,2021-10-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,14
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,3
Youth with Only Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,67
Youth with No Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,15
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,7
Youth with Missing Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,1
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,44
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,28
Number of Youth Stayers without Required Annual Assessment,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,93
Total Youth,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,72
Total Youth,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,21
1 or More Source of Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,22
1 or More Source of Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,6
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-11-01,2021-11-30,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,14
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Only Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,3
Youth with Only Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Both Earned and Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with No Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,67
Youth with No Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,12
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,10
Youth with Missing Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,54
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,26
Number of Youth Stayers without Required Annual Assessment,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,95
Total Youth,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,80
Total Youth,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,15
1 or More Source of Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,20
1 or More Source of Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,3
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-12-01,2021-12-31,Q27h,number_of_youth_at_exit_leavers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2022-01-01,2022-01-31,Q27h,number_of_youth_at_start,15
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2022-01-01,2022-01-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
