number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
Veterans with Missing Income Information,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,22
Number of veterans not yet required to have an annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_start,49
Total Veterans,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_annual_assessment_stayers,40
Total Veterans,veterans,2020-07-01,2020-07-31,Q25f,number_of_veterans_at_exit_leavers,9
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,18
Veterans with Only Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,23
Veterans with No Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,25
Number of veterans not yet required to have an annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_start,45
Total Veterans,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,43
Total Veterans,veterans,2020-08-01,2020-08-31,Q25f,number_of_veterans_at_exit_leavers,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,19
Veterans with Only Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,26
Veterans with No Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,29
Number of veterans not yet required to have an annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_start,49
Total Veterans,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_annual_assessment_stayers,47
Total Veterans,veterans,2020-09-01,2020-09-30,Q25f,number_of_veterans_at_exit_leavers,2
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,22
Veterans with Only Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,28
Veterans with No Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,28
Number of veterans not yet required to have an annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_start,55
Total Veterans,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_annual_assessment_stayers,47
Total Veterans,veterans,2020-10-01,2020-10-31,Q25f,number_of_veterans_at_exit_leavers,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,23
Veterans with Only Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,25
Veterans with No Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,30
Number of veterans not yet required to have an annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_start,53
Total Veterans,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_annual_assessment_stayers,49
Total Veterans,veterans,2020-11-01,2020-11-30,Q25f,number_of_veterans_at_exit_leavers,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,1
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,20
Veterans with Only Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,8
Veterans with Only Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,28
Veterans with No Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,30
Number of veterans not yet required to have an annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Number of veterans without required annual assessment,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_start,54
Total Veterans,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_annual_assessment_stayers,46
Total Veterans,veterans,2020-12-01,2020-12-31,Q25f,number_of_veterans_at_exit_leavers,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,19
Veterans with Only Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,7
Veterans with Only Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Both Earned and Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,31
Veterans with No Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Veterans with No Income,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,32
Number of veterans not yet required to have an annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Number of veterans without required annual assessment,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_start,55
Total Veterans,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_annual_assessment_stayers,47
Total Veterans,veterans,2021-01-01,2021-01-31,Q25f,number_of_veterans_at_exit_leavers,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,18
Veterans with Only Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Both Earned and Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,28
Veterans with No Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,29
Number of veterans not yet required to have an annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,4
Number of veterans without required annual assessment,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_start,50
Total Veterans,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_annual_assessment_stayers,45
Total Veterans,veterans,2021-02-01,2021-02-28,Q25f,number_of_veterans_at_exit_leavers,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,4
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,20
Veterans with Only Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Both Earned and Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Both Earned and Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,29
Veterans with No Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,3
Veterans with No Income,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,3
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans not yet required to have an annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,28
Number of veterans not yet required to have an annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,5
Number of veterans without required annual assessment,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_start,53
Total Veterans,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_annual_assessment_stayers,45
Total Veterans,veterans,2021-03-01,2021-03-31,Q25f,number_of_veterans_at_exit_leavers,8
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,3
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Only Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,18
Veterans with Only Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,9
Veterans with Only Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,2
Veterans with Both Earned and Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,1
Veterans with Both Earned and Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with No Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,30
Veterans with No Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Veterans with No Income,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_start,0
Veterans with Missing Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2021-04-01,2021-04-30,Q25f,number_of_veterans_at_exit_leavers,0
