income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,2,4,6,0.33,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Child Support,0,1,1,0,1,2,3,0.33,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Other source,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
No Sources,11,16,27,0.41,1,5,6,0.17,0,0,0,0,adults,2019-05-01,2019-05-31,Q19b
Unduplicated Total Adults,41,53,94,NA,7,24,31,NA,1,1,2,NA,adults,2019-05-01,2019-05-31,Q19b
Earned Income,11,37,48,0.23,2,14,16,0.13,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Supplemental Security Income (SSI),14,2,16,0.88,0,1,1,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Social Security Disability Insurance (SSDI),15,0,15,1,1,3,4,0.25,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,2,2,0,2,5,7,0.29,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Child Support,3,3,6,0.5,0,5,5,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Other source,4,2,6,0.67,0,0,0,0,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
No Sources,11,34,45,0.24,1,3,4,0.25,0,0,0,0,adults,2019-06-01,2019-06-30,Q19b
Unduplicated Total Adults,50,76,126,NA,4,20,24,NA,0,0,0,NA,adults,2019-06-01,2019-06-30,Q19b
Earned Income,16,30,46,0.35,5,19,24,0.21,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Supplemental Security Income (SSI),16,1,17,0.94,2,2,4,0.5,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Social Security Disability Insurance (SSDI),14,1,15,0.93,3,0,3,1,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,2,2,0,1,1,2,0.5,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Retirement Income from Social Security,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Child Support,2,1,3,0.67,0,3,3,0,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Other source,3,1,4,0.75,1,1,2,0.5,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
No Sources,25,32,57,0.44,1,13,14,0.07,0,0,0,0,adults,2019-07-01,2019-07-31,Q19b
Unduplicated Total Adults,64,64,128,NA,11,35,46,NA,0,0,0,NA,adults,2019-07-01,2019-07-31,Q19b
Earned Income,7,29,36,0.19,4,20,24,0.17,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Supplemental Security Income (SSI),13,4,17,0.76,4,2,6,0.67,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Social Security Disability Insurance (SSDI),9,0,9,1,2,1,3,0.67,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,1,2,3,0.33,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Retirement Income from Social Security,0,2,2,0,1,0,1,1,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Pension or retirement income from a former job,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Child Support,2,3,5,0.4,2,4,6,0.33,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Other source,5,2,7,0.71,0,0,0,0,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
No Sources,19,43,62,0.31,1,19,20,0.05,0,0,0,0,adults,2019-08-01,2019-08-31,Q19b
Unduplicated Total Adults,50,79,129,NA,9,42,51,NA,0,0,0,NA,adults,2019-08-01,2019-08-31,Q19b
Earned Income,12,24,36,0.33,6,22,28,0.21,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Supplemental Security Income (SSI),14,1,15,0.93,4,3,7,0.57,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Social Security Disability Insurance (SSDI),20,0,20,1,3,0,3,1,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Worker's Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,0,2,2,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Retirement Income from Social Security,3,2,6,0.5,0,0,0,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Pension or retirement income from a former job,2,0,2,1,1,0,1,1,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Child Support,1,2,3,0.33,2,1,3,0.67,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Other source,2,1,3,0.67,0,1,1,0,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
No Sources,16,28,44,0.36,2,12,14,0.14,0,0,0,0,adults,2019-09-01,2019-09-30,Q19b
Unduplicated Total Adults,61,58,119,NA,14,37,51,NA,0,0,0,NA,adults,2019-09-01,2019-09-30,Q19b
Earned Income,17,17,34,0.5,5,20,25,0.2,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Supplemental Security Income (SSI),20,4,24,0.83,0,0,0,0,1,0,1,1,adults,2019-10-01,2019-10-31,Q19b
Social Security Disability Insurance (SSDI),16,1,17,0.94,2,0,2,1,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Worker's Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,0,1,1,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Retirement Income from Social Security,3,0,3,1,0,0,0,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Child Support,1,2,3,0.33,0,2,2,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Other source,4,0,4,1,0,1,1,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
No Sources,17,33,50,0.34,0,8,8,0,0,0,0,0,adults,2019-10-01,2019-10-31,Q19b
Unduplicated Total Adults,68,57,125,NA,6,29,35,NA,1,0,1,NA,adults,2019-10-01,2019-10-31,Q19b
Earned Income,13,28,41,0.32,3,13,16,0.19,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,1,2,3,0.33,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Temporary Assistance for Needy Families (TANF),2,1,3,0.67,0,2,2,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Child Support,0,3,3,0,0,1,1,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Other source,3,3,6,0.5,0,0,0,0,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
No Sources,22,42,64,0.34,1,1,2,0.5,0,0,0,0,adults,2019-11-01,2019-11-30,Q19b
Unduplicated Total Adults,63,75,138,NA,5,14,19,NA,0,0,0,NA,adults,2019-11-01,2019-11-30,Q19b
Earned Income,15,32,47,0.32,3,25,28,0.11,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Supplemental Security Income (SSI),21,6,27,0.78,3,2,5,0.6,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Social Security Disability Insurance (SSDI),19,0,19,1,0,0,0,0,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,1,0,1,1,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,1,1,2,0.5,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Pension or retirement income from a former job,2,0,2,1,0,1,1,0,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Child Support,3,2,5,0.6,2,5,7,0.29,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Other source,1,0,1,1,1,0,1,1,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
No Sources,26,36,62,0.42,1,7,8,0.13,0,0,0,0,adults,2019-12-01,2019-12-31,Q19b
Unduplicated Total Adults,70,75,145,NA,9,34,43,NA,0,0,0,NA,adults,2019-12-01,2019-12-31,Q19b
Earned Income,21,18,39,0.54,2,22,24,0.08,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Supplemental Security Income (SSI),25,2,27,0.93,2,0,2,1,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Social Security Disability Insurance (SSDI),18,2,20,0.9,0,2,2,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
VA Service-Connected Disability Compensation,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,2,2,4,0.5,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Retirement Income from Social Security,4,0,4,1,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Child Support,1,1,2,0.5,1,7,8,0.13,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Other source,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
No Sources,34,51,85,0.4,4,3,7,0.57,0,0,0,0,adults,2020-01-01,2020-01-31,Q19b
Unduplicated Total Adults,88,76,164,NA,10,28,38,NA,0,0,0,NA,adults,2020-01-01,2020-01-31,Q19b
Earned Income,14,35,49,0.29,4,13,17,0.24,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Supplemental Security Income (SSI),22,3,25,0.88,3,2,5,0.6,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Social Security Disability Insurance (SSDI),20,1,21,0.95,2,1,3,0.67,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
VA Service-Connected Disability Compensation,3,0,3,1,0,0,0,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Pension or retirement income from a former job,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Child Support,1,3,4,0.25,1,1,2,0.5,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Other source,1,1,2,0.5,2,0,2,1,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
No Sources,24,44,68,0.35,1,6,7,0.14,0,0,0,0,adults,2020-02-01,2020-02-29,Q19b
Unduplicated Total Adults,72,83,155,NA,8,21,29,NA,0,0,0,NA,adults,2020-02-01,2020-02-29,Q19b
Earned Income,10,29,39,0.26,4,12,16,0.25,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,1,1,2,0.5,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Social Security Disability Insurance (SSDI),11,0,11,1,1,1,2,0.5,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Private Disability Insurance,0,0,0,0,1,0,1,1,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Retirement Income from Social Security,3,1,4,0.75,0,0,0,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Child Support,0,2,2,0,2,3,5,0.4,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Other source,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
No Sources,29,38,67,0.43,2,7,9,0.22,0,0,0,0,adults,2020-03-01,2020-03-31,Q19b
Unduplicated Total Adults,67,69,136,NA,9,22,31,NA,0,0,0,NA,adults,2020-03-01,2020-03-31,Q19b
Earned Income,10,14,24,0.42,1,7,8,0.13,0,1,1,0,adults,2020-04-01,2020-04-30,Q19b
Supplemental Security Income (SSI),12,2,14,0.86,1,0,1,1,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Social Security Disability Insurance (SSDI),12,1,13,0.92,2,0,2,1,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,1,2,0.5,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Child Support,0,1,1,0,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Other source,3,3,6,0.5,0,0,0,0,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
No Sources,24,39,63,0.38,4,7,11,0.36,0,0,0,0,adults,2020-04-01,2020-04-30,Q19b
Unduplicated Total Adults,57,57,114,NA,7,15,22,NA,0,1,1,NA,adults,2020-04-01,2020-04-30,Q19b
Earned Income,6,16,22,0.27,0,10,10,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Supplemental Security Income (SSI),15,0,15,1,2,0,2,1,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Social Security Disability Insurance (SSDI),18,0,18,1,2,0,2,1,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1,0,0,0,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Child Support,0,0,0,0,0,1,1,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Other source,0,0,0,0,0,2,2,0,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
No Sources,18,36,54,0.33,3,3,6,0.5,0,0,0,0,adults,2020-05-01,2020-05-31,Q19b
Unduplicated Total Adults,56,53,109,NA,5,16,21,NA,0,0,0,NA,adults,2020-05-01,2020-05-31,Q19b
Earned Income,9,15,24,0.38,0,4,4,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Supplemental Security Income (SSI),22,1,23,0.96,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Social Security Disability Insurance (SSDI),24,0,24,1,1,0,1,1,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
VA Service-Connected Disability Compensation,2,1,3,0.67,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Private Disability Insurance,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,2,0,2,1,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Other source,1,1,2,0.5,0,1,1,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
No Sources,35,42,77,0.45,0,3,3,0,0,0,0,0,adults,2020-06-01,2020-06-30,Q19b
Unduplicated Total Adults,85,60,145,NA,3,7,10,NA,0,0,0,NA,adults,2020-06-01,2020-06-30,Q19b
Earned Income,15,12,27,0.56,1,6,7,0.14,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Supplemental Security Income (SSI),12,2,14,0.86,2,1,3,0.67,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Social Security Disability Insurance (SSDI),18,1,19,0.95,1,0,1,1,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Worker's Compensation,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,1,1,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Retirement Income from Social Security,4,0,4,1,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Child Support,1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Other source,1,2,3,0.33,0,2,2,0,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
No Sources,22,19,41,0.54,1,4,5,0.2,0,0,0,0,adults,2020-07-01,2020-07-31,Q19b
Unduplicated Total Adults,67,36,103,NA,5,13,18,NA,0,0,0,NA,adults,2020-07-01,2020-07-31,Q19b
Earned Income,12,8,20,0.6,1,3,4,0.25,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Supplemental Security Income (SSI),19,2,21,0.9,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Social Security Disability Insurance (SSDI),12,1,13,0.92,1,0,1,1,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Temporary Assistance for Needy Families (TANF),3,0,3,1,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Retirement Income from Social Security,3,0,3,1,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Child Support,3,1,4,0.75,0,0,0,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Other source,1,0,1,1,0,2,2,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
No Sources,12,16,28,0.43,0,2,2,0,0,0,0,0,adults,2020-08-01,2020-08-31,Q19b
Unduplicated Total Adults,48,28,76,NA,2,7,9,NA,0,0,0,NA,adults,2020-08-01,2020-08-31,Q19b
Earned Income,12,15,27,0.44,3,7,10,0.3,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Supplemental Security Income (SSI),6,1,7,0.86,2,0,2,1,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Social Security Disability Insurance (SSDI),11,2,13,0.85,2,0,2,1,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
VA Service-Connected Disability Compensation,0,1,1,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Other source,1,1,2,0.5,0,0,0,0,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
No Sources,21,25,46,0.46,3,4,7,0.43,0,0,0,0,adults,2020-09-01,2020-09-30,Q19b
Unduplicated Total Adults,46,43,89,NA,8,11,19,NA,0,0,0,NA,adults,2020-09-01,2020-09-30,Q19b
Earned Income,10,6,16,0.63,2,4,6,0.33,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Supplemental Security Income (SSI),21,0,21,1,2,0,2,1,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Social Security Disability Insurance (SSDI),14,0,14,1,2,0,2,1,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Retirement Income from Social Security,2,0,2,1,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Child Support,2,0,2,1,3,0,3,1,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Other source,5,0,5,1,0,2,2,0,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
No Sources,13,24,37,0.35,2,5,7,0.29,0,0,0,0,adults,2020-10-01,2020-10-31,Q19b
Unduplicated Total Adults,57,30,87,NA,9,11,20,NA,0,0,0,NA,adults,2020-10-01,2020-10-31,Q19b
Earned Income,6,7,13,0.46,0,2,2,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Supplemental Security Income (SSI),12,0,12,1,0,1,1,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2020-11-01,2020-11-30,Q19b
