income_sources_exit,ao_youth_with_disabling_condition,ao_youth_without_disabling_condition,ao_total_youth,ao_percent_with_disabling_condition_by_source,ac_youth_with_disabling_condition,ac_youth_without_disabling_condition,ac_total_youth,ac_percent_with_disabling_condition_by_source,co_youth_with_disabling_condition,co_youth_without_disabling_condition,co_total_youth,co_percent_with_disabling_condition_by_source,uk_youth_with_disabling_condition,uk_youth_without_disabling_condition,uk_total_youth,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Child Support,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
No Sources,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2018-11-01,2018-11-30,Q27i
Unduplicated Total Youth,1,1,2,NA,1,6,7,NA,0,0,0,NA,0,0,0,NA,youth,2018-11-01,2018-11-30,Q27i
Earned Income,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Supplemental Security Income (SSI),2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
No Sources,0,8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2018-12-01,2018-12-31,Q27i
Unduplicated Total Youth,3,8,11,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2018-12-01,2018-12-31,Q27i
Earned Income,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Supplemental Security Income (SSI),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Other source,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
No Sources,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-01-01,2019-01-31,Q27i
Unduplicated Total Youth,0,17,17,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,youth,2019-01-01,2019-01-31,Q27i
Earned Income,1,6,7,0.14,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Supplemental Security Income (SSI),2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Social Security Disability Insurance (SSDI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Other source,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
No Sources,1,6,7,0.14,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-02-01,2019-02-28,Q27i
Unduplicated Total Youth,5,12,17,NA,0,4,4,NA,0,0,0,NA,0,0,0,NA,youth,2019-02-01,2019-02-28,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
No Sources,1,9,10,0.1,0,3,3,0,0,0,0,0,0,0,0,0,youth,2019-03-01,2019-03-31,Q27i
Unduplicated Total Youth,1,10,11,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2019-03-01,2019-03-31,Q27i
Earned Income,0,7,7,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Supplemental Security Income (SSI),1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Social Security Disability Insurance (SSDI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
No Sources,1,8,9,0.11,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-04-01,2019-04-30,Q27i
Unduplicated Total Youth,2,16,18,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2019-04-01,2019-04-30,Q27i
Earned Income,1,5,6,0.17,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Other source,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
No Sources,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-05-01,2019-05-31,Q27i
Unduplicated Total Youth,1,8,9,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,youth,2019-05-01,2019-05-31,Q27i
Earned Income,0,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Supplemental Security Income (SSI),2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Child Support,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
No Sources,1,2,3,0.33,0,0,0,0,0,1,1,0,0,0,0,0,youth,2019-06-01,2019-06-30,Q27i
Unduplicated Total Youth,3,5,8,NA,1,0,1,NA,0,1,1,NA,0,0,0,NA,youth,2019-06-01,2019-06-30,Q27i
Earned Income,0,3,3,0,1,4,5,0.2,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
No Sources,1,5,6,0.17,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-07-01,2019-07-31,Q27i
Unduplicated Total Youth,1,8,9,NA,1,6,7,NA,0,0,0,NA,0,0,0,NA,youth,2019-07-01,2019-07-31,Q27i
Earned Income,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Other source,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
No Sources,1,6,7,0.14,0,3,3,0,0,0,0,0,0,0,0,0,youth,2019-08-01,2019-08-31,Q27i
Unduplicated Total Youth,2,9,11,NA,0,6,6,NA,0,0,0,NA,0,0,0,NA,youth,2019-08-01,2019-08-31,Q27i
Earned Income,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
No Sources,1,4,5,0.2,0,3,3,0,0,0,0,0,0,0,0,0,youth,2019-09-01,2019-09-30,Q27i
Unduplicated Total Youth,1,6,7,NA,0,6,6,NA,0,0,0,NA,0,0,0,NA,youth,2019-09-01,2019-09-30,Q27i
Earned Income,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Temporary Assistance for Needy Families (TANF),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
No Sources,1,6,7,0.14,0,2,2,0,0,0,0,0,0,0,0,0,youth,2019-10-01,2019-10-31,Q27i
Unduplicated Total Youth,1,9,10,NA,0,4,4,NA,0,0,0,NA,0,0,0,NA,youth,2019-10-01,2019-10-31,Q27i
Earned Income,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
No Sources,0,8,8,0,0,0,0,0,0,2,2,0,0,0,0,0,youth,2019-11-01,2019-11-30,Q27i
Unduplicated Total Youth,0,9,9,NA,0,1,1,NA,0,2,2,NA,0,0,0,NA,youth,2019-11-01,2019-11-30,Q27i
Earned Income,1,5,6,0.17,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
No Sources,3,2,5,0.6,0,1,1,0,0,0,0,0,0,0,0,0,youth,2019-12-01,2019-12-31,Q27i
Unduplicated Total Youth,5,7,12,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2019-12-01,2019-12-31,Q27i
Earned Income,2,1,3,0.67,0,2,2,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Child Support,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
No Sources,2,7,9,0.22,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-01-01,2020-01-31,Q27i
Unduplicated Total Youth,5,8,13,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2020-01-01,2020-01-31,Q27i
Earned Income,1,3,4,0.25,0,2,2,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
No Sources,2,6,8,0.25,0,1,1,0,0,0,0,0,0,0,0,0,youth,2020-02-01,2020-02-29,Q27i
Unduplicated Total Youth,4,9,13,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2020-02-01,2020-02-29,Q27i
Earned Income,0,3,3,0,1,1,2,0.5,0,0,0,0,0,0,0,0,youth,2020-03-01,2020-03-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-03-01,2020-03-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-03-01,2020-03-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2020-03-01,2020-03-31,Q27i
